iter	Passed	Remaining
0	104	104496
1	105	52835
2	107	35587
3	108	26959
4	109	21771
5	110	18313
6	111	15841
7	112	14009
8	114	12570
9	115	11418
10	117	10549
11	118	9776
12	119	9108
13	121	8541
14	122	8038
15	123	7599
16	124	7208
17	125	6862
18	126	6549
19	128	6272
20	129	6023
21	130	5800
22	132	5614
23	133	5419
24	134	5240
25	135	5073
26	136	4919
27	137	4776
28	138	4644
29	139	4522
30	140	4403
31	141	4289
32	142	4185
33	143	4087
34	145	4001
35	146	3923
36	147	3846
37	148	3767
38	149	3691
39	150	3619
40	151	3551
41	152	3487
42	153	3426
43	155	3368
44	156	3312
45	157	3258
46	158	3205
47	159	3156
48	160	3122
49	162	3082
50	164	3055
51	165	3015
52	166	2974
53	167	2934
54	168	2895
55	169	2858
56	170	2822
57	171	2788
58	172	2754
59	173	2721
60	175	2704
61	176	2677
62	178	2654
63	179	2627
64	181	2610
65	183	2591
66	184	2566
67	185	2542
68	187	2524
69	188	2499
70	189	2479
71	190	2456
72	191	2436
73	193	2415
74	194	2398
75	195	2382
76	197	2362
77	198	2342
78	199	2321
79	200	2305
80	201	2288
81	203	2276
82	205	2272
83	207	2258
84	208	2241
85	209	2224
86	210	2207
87	211	2191
88	212	2175
89	213	2160
90	214	2144
91	216	2132
92	217	2117
93	218	2102
94	219	2095
95	221	2082
96	222	2068
97	223	2055
98	224	2041
99	225	2029
100	226	2016
101	227	2003
102	228	1991
103	229	1979
104	230	1968
105	232	1957
106	233	1946
107	234	1939
108	236	1930
109	237	1919
110	238	1908
111	239	1897
112	240	1886
113	241	1875
114	242	1864
115	243	1854
116	244	1843
117	245	1833
118	246	1823
119	247	1814
120	249	1811
121	250	1802
122	251	1793
123	252	1784
124	253	1775
125	254	1766
126	255	1756
127	256	1747
128	257	1738
129	258	1730
130	259	1721
131	260	1713
132	261	1705
133	262	1697
134	264	1693
135	265	1685
136	266	1678
137	267	1670
138	268	1663
139	269	1655
140	270	1648
141	271	1638
142	272	1632
143	273	1625
144	274	1618
145	275	1611
146	276	1604
147	277	1599
148	278	1593
149	280	1587
150	281	1580
151	282	1575
152	283	1571
153	285	1565
154	286	1559
155	287	1553
156	288	1547
157	289	1541
158	290	1534
159	291	1529
160	291	1521
161	294	1521
162	295	1517
163	296	1512
164	297	1506
165	298	1501
166	299	1495
167	300	1490
168	301	1484
169	302	1479
170	303	1473
171	304	1468
172	306	1462
173	307	1458
174	309	1457
175	310	1452
176	311	1446
177	312	1441
178	313	1436
179	314	1432
180	316	1430
181	317	1428
182	319	1426
183	320	1422
184	321	1417
185	323	1413
186	324	1410
187	325	1406
188	326	1402
189	327	1397
190	328	1392
191	329	1388
192	330	1383
193	331	1379
194	332	1374
195	333	1369
196	334	1365
197	335	1360
198	337	1356
199	338	1355
200	340	1352
201	341	1348
202	342	1343
203	343	1339
204	344	1335
205	345	1330
206	346	1326
207	347	1322
208	348	1318
209	349	1314
210	350	1310
211	351	1306
212	353	1304
213	354	1300
214	355	1296
215	356	1292
216	357	1289
217	358	1284
218	359	1280
219	360	1277
220	361	1273
221	362	1269
222	363	1265
223	364	1261
224	365	1257
225	366	1256
226	367	1252
227	368	1249
228	370	1246
229	371	1243
230	372	1241
231	374	1238
232	375	1234
233	376	1231
234	377	1228
235	378	1224
236	379	1221
237	380	1218
238	382	1217
239	383	1215
240	385	1212
241	386	1209
242	387	1206
243	388	1202
244	389	1199
245	390	1196
246	391	1192
247	392	1189
248	393	1186
249	394	1183
250	395	1179
251	397	1179
252	398	1176
253	399	1172
254	400	1169
255	401	1166
256	402	1163
257	403	1160
258	404	1157
259	405	1154
260	406	1151
261	407	1148
262	408	1145
263	409	1142
264	410	1139
265	412	1137
266	413	1135
267	414	1132
268	415	1129
269	416	1126
270	417	1123
271	418	1120
272	419	1117
273	420	1115
274	421	1112
275	422	1109
276	423	1106
277	425	1104
278	426	1103
279	428	1101
280	429	1098
281	430	1095
282	431	1092
283	432	1089
284	433	1087
285	434	1085
286	436	1083
287	437	1080
288	438	1078
289	439	1075
290	440	1074
291	442	1072
292	443	1070
293	444	1067
294	445	1065
295	447	1063
296	448	1061
297	450	1060
298	451	1058
299	452	1055
300	453	1053
301	454	1051
302	456	1051
303	458	1048
304	459	1046
305	460	1045
306	462	1043
307	463	1040
308	464	1038
309	465	1035
310	466	1033
311	467	1030
312	468	1028
313	470	1026
314	471	1025
315	473	1023
316	474	1021
317	475	1019
318	476	1016
319	477	1014
320	478	1011
321	479	1009
322	480	1007
323	481	1004
324	482	1002
325	483	1000
326	486	1000
327	487	998
328	488	996
329	489	994
330	490	991
331	491	989
332	493	988
333	494	986
334	495	984
335	496	982
336	497	979
337	498	977
338	500	976
339	502	974
340	503	972
341	504	970
342	505	967
343	506	965
344	507	963
345	508	961
346	509	959
347	510	957
348	511	954
349	512	952
350	514	950
351	515	949
352	517	948
353	518	945
354	519	943
355	520	941
356	521	939
357	522	937
358	523	935
359	524	932
360	525	930
361	526	928
362	528	926
363	530	926
364	531	925
365	532	923
366	533	920
367	534	918
368	536	916
369	537	915
370	538	912
371	539	910
372	540	908
373	541	906
374	542	904
375	543	902
376	545	902
377	547	900
378	548	898
379	549	896
380	550	894
381	551	891
382	552	889
383	553	887
384	554	885
385	555	883
386	556	881
387	557	879
388	559	878
389	560	877
390	562	875
391	563	874
392	565	873
393	566	871
394	567	869
395	568	866
396	569	864
397	570	862
398	571	860
399	572	858
400	576	860
401	577	859
402	578	857
403	579	855
404	580	853
405	581	851
406	584	851
407	585	849
408	586	847
409	587	845
410	589	845
411	593	846
412	595	845
413	596	843
414	597	841
415	598	839
416	599	837
417	600	836
418	602	835
419	605	836
420	607	834
421	608	832
422	609	832
423	612	831
424	613	830
425	614	828
426	616	826
427	617	824
428	620	825
429	621	823
430	623	822
431	624	820
432	625	819
433	626	817
434	628	816
435	629	814
436	630	812
437	631	810
438	632	808
439	634	807
440	636	806
441	638	805
442	639	804
443	640	802
444	641	800
445	643	799
446	645	797
447	646	796
448	647	795
449	649	794
450	650	792
451	651	790
452	653	788
453	654	787
454	656	786
455	657	784
456	658	782
457	659	780
458	660	778
459	661	777
460	664	776
461	669	779
462	670	778
463	672	776
464	673	774
465	675	773
466	676	771
467	677	769
468	678	768
469	680	767
470	681	765
471	682	763
472	684	762
473	685	760
474	686	758
475	687	756
476	688	754
477	689	752
478	690	751
479	691	749
480	693	748
481	695	746
482	696	745
483	697	743
484	698	742
485	699	740
486	701	738
487	702	737
488	703	735
489	704	733
490	705	731
491	706	729
492	708	728
493	711	728
494	712	727
495	713	725
496	714	723
497	715	721
498	717	719
499	718	718
500	720	717
501	721	715
502	722	713
503	724	712
504	725	711
505	726	709
506	728	708
507	729	706
508	730	705
509	732	703
510	733	701
511	734	699
512	735	698
513	736	696
514	739	696
515	740	694
516	742	693
517	743	692
518	746	691
519	747	690
520	748	688
521	749	686
522	750	684
523	751	682
524	753	682
525	755	680
526	756	679
527	757	677
528	758	675
529	759	673
530	760	672
531	762	670
532	763	668
533	764	666
534	765	665
535	766	663
536	768	662
537	769	660
538	770	658
539	771	657
540	772	655
541	774	654
542	775	652
543	776	650
544	777	648
545	778	647
546	779	645
547	780	643
548	782	642
549	783	641
550	785	639
551	786	638
552	787	636
553	788	634
554	789	633
555	790	631
556	792	630
557	793	628
558	794	626
559	795	625
560	797	624
561	799	622
562	800	621
563	801	619
564	802	617
565	803	616
566	804	614
567	805	612
568	806	611
569	807	609
570	809	607
571	810	606
572	812	605
573	813	603
574	814	602
575	815	600
576	816	598
577	817	597
578	819	595
579	820	593
580	821	592
581	822	590
582	823	589
583	824	587
584	825	585
585	828	585
586	829	583
587	830	582
588	832	580
589	833	578
590	834	577
591	835	575
592	836	574
593	837	572
594	838	570
595	839	569
596	841	567
597	842	566
598	844	565
599	846	564
600	847	562
601	849	561
602	850	559
603	851	558
604	852	556
605	853	554
606	854	553
607	855	551
608	857	550
609	859	549
610	860	547
611	861	545
612	862	544
613	863	542
614	864	541
615	866	539
616	867	538
617	868	536
618	869	535
619	870	533
620	872	532
621	873	531
622	875	529
623	876	527
624	877	526
625	878	524
626	879	523
627	880	521
628	881	520
629	883	518
630	884	517
631	885	515
632	887	514
633	888	513
634	890	511
635	891	510
636	892	508
637	893	507
638	894	505
639	895	503
640	897	502
641	898	500
642	899	499
643	900	498
644	902	496
645	903	495
646	904	493
647	905	491
648	906	490
649	907	488
650	909	487
651	910	485
652	911	484
653	912	482
654	913	481
655	914	479
656	916	478
657	917	477
658	919	475
659	920	474
660	921	472
661	922	470
662	923	469
663	924	467
664	925	466
665	926	464
666	928	463
667	929	462
668	931	460
669	932	459
670	933	457
671	935	456
672	938	455
673	939	454
674	940	452
675	941	451
676	942	449
677	943	448
678	947	447
679	948	446
680	950	445
681	951	443
682	952	442
683	953	440
684	956	439
685	957	438
686	958	436
687	959	435
688	961	433
689	962	432
690	965	431
691	966	430
692	967	428
693	968	426
694	969	425
695	970	423
696	971	422
697	973	421
698	974	419
699	976	418
700	977	417
701	979	415
702	980	414
703	981	412
704	983	411
705	984	409
706	985	408
707	986	406
708	987	405
709	988	403
710	990	402
711	992	401
712	994	400
713	995	398
714	996	397
715	997	395
716	998	394
717	999	392
718	1001	391
719	1002	389
720	1003	388
721	1004	386
722	1006	385
723	1007	384
724	1010	383
725	1011	381
726	1012	380
727	1013	378
728	1014	377
729	1016	375
730	1017	374
731	1023	374
732	1025	373
733	1027	372
734	1028	370
735	1029	369
736	1030	367
737	1031	366
738	1033	364
739	1034	363
740	1036	362
741	1038	361
742	1040	359
743	1041	358
744	1042	356
745	1043	355
746	1044	353
747	1046	352
748	1047	350
749	1048	349
750	1050	348
751	1051	346
752	1052	345
753	1054	344
754	1055	342
755	1057	341
756	1058	339
757	1059	338
758	1060	336
759	1061	335
760	1062	333
761	1064	332
762	1066	331
763	1067	329
764	1069	328
765	1070	326
766	1071	325
767	1074	324
768	1076	323
769	1083	323
770	1085	322
771	1086	320
772	1087	319
773	1088	317
774	1089	316
775	1091	315
776	1092	313
777	1093	312
778	1095	310
779	1097	309
780	1099	308
781	1100	306
782	1101	305
783	1103	303
784	1104	302
785	1105	300
786	1106	299
787	1107	297
788	1108	296
789	1110	295
790	1111	293
791	1113	292
792	1114	290
793	1116	289
794	1117	288
795	1119	286
796	1120	285
797	1121	283
798	1122	282
799	1123	280
800	1125	279
801	1127	278
802	1128	276
803	1129	275
804	1130	273
805	1131	272
806	1132	270
807	1133	269
808	1134	267
809	1135	266
810	1137	264
811	1138	263
812	1140	262
813	1141	260
814	1142	259
815	1143	257
816	1144	256
817	1146	255
818	1147	253
819	1149	252
820	1150	250
821	1151	249
822	1152	247
823	1153	246
824	1155	245
825	1156	243
826	1158	242
827	1159	240
828	1160	239
829	1161	237
830	1162	236
831	1163	234
832	1164	233
833	1165	232
834	1166	230
835	1167	229
836	1169	227
837	1171	226
838	1172	224
839	1173	223
840	1174	222
841	1175	220
842	1176	219
843	1177	217
844	1178	216
845	1180	214
846	1181	213
847	1182	211
848	1184	210
849	1186	209
850	1187	207
851	1188	206
852	1189	204
853	1190	203
854	1191	202
855	1192	200
856	1193	199
857	1194	197
858	1195	196
859	1197	194
860	1200	193
861	1202	192
862	1203	190
863	1204	189
864	1205	188
865	1206	186
866	1207	185
867	1208	183
868	1209	182
869	1210	180
870	1211	179
871	1213	178
872	1214	176
873	1216	175
874	1217	173
875	1218	172
876	1220	171
877	1221	169
878	1222	168
879	1223	166
880	1224	165
881	1225	164
882	1226	162
883	1229	161
884	1231	159
885	1232	158
886	1233	157
887	1234	155
888	1235	154
889	1236	152
890	1238	151
891	1239	150
892	1240	148
893	1241	147
894	1244	145
895	1245	144
896	1246	143
897	1247	141
898	1249	140
899	1250	138
900	1251	137
901	1252	136
902	1253	134
903	1254	133
904	1255	131
905	1256	130
906	1258	129
907	1259	127
908	1260	126
909	1261	124
910	1263	123
911	1264	121
912	1265	120
913	1266	119
914	1267	117
915	1268	116
916	1271	115
917	1272	113
918	1274	112
919	1275	110
920	1276	109
921	1277	108
922	1278	106
923	1279	105
924	1280	103
925	1281	102
926	1282	101
927	1283	99
928	1286	98
929	1287	96
930	1289	95
931	1290	94
932	1291	92
933	1292	91
934	1293	89
935	1294	88
936	1295	87
937	1296	85
938	1298	84
939	1300	82
940	1301	81
941	1302	80
942	1304	78
943	1305	77
944	1307	76
945	1308	74
946	1310	73
947	1311	71
948	1312	70
949	1313	69
950	1314	67
951	1318	66
952	1320	65
953	1321	63
954	1322	62
955	1323	60
956	1324	59
957	1327	58
958	1328	56
959	1329	55
960	1331	54
961	1332	52
962	1334	51
963	1336	49
964	1337	48
965	1338	47
966	1339	45
967	1340	44
968	1341	42
969	1342	41
970	1344	40
971	1346	38
972	1347	37
973	1348	36
974	1350	34
975	1351	33
976	1352	31
977	1354	30
978	1355	29
979	1356	27
980	1357	26
981	1358	24
982	1360	23
983	1362	22
984	1363	20
985	1365	19
986	1366	17
987	1367	16
988	1368	15
989	1369	13
990	1371	12
991	1372	11
992	1373	9
993	1375	8
994	1376	6
995	1377	5
996	1380	4
997	1382	2
998	1383	1
999	1386	0
